,Alcohol,Chlorides
MSE mean,0.552525237410056,0.6536666806031163
MSE var,0.005241367929065386,0.004520329092771369
RMSE mean,0.7417177640701471,0.807410321449969
RMSE var,0.0023799958728375533,0.0017552534191738849
R2 mean,0.14919755337006624,-0.00820885951498802
R2 var,0.0024160277676876065,6.9235845915784005e-06
