Fold,MSE,RMSE,R2
1,0.374540593342934,0.611997216777114,0.32693841218913067
2,0.485608465469876,0.6968561296780534,0.340571921443219
3,0.43523689062638765,0.6597248597911008,0.3577506392780011
4,0.4191378088314606,0.6474085331778232,0.385946513702487
5,0.3784950916316937,0.6152195475045422,0.3565620575106456
